serial,chapter,NCERT,PYQs,Modules
1,Sets Relations and Functions,false,false,false,false
2,Complex Numbers,false,false,false,false
3,Quadratic Equations,false,false,false,false
4,Permutations and Combinations,false,false,false,false
5,Binomial Theorem,false,false,false,false
6,Sequences and Series,false,false,false,false
7,Limits Continuity and Differentiability,false,false,false,false
8,Methods of Differentiation,false,false,false,false
9,Application of Derivatives,false,false,false,false
10,Indefinite Integration,false,false,false,false
11,Definite Integration,false,false,false,false
12,Area Under Curves,false,false,false,false
13,Differential Equations,false,false,false,false
14,Coordinate Geometry Basics,false,false,false,false
15,Straight Lines,false,false,false,false
16,Circles,false,false,false,false
17,Parabola,false,false,false,false
18,Ellipse,false,false,false,false
19,Hyperbola,false,false,false,false
20,Vectors,false,false,false,false
21,3D Geometry,false,false,false,false
22,Probability,false,false,false,false
23,Statistics,false,false,false,false
24,Trigonometric Ratios and Identities,false,false,false,false
25,Trigonometric Equations,false,false,false,false
26,Properties of Triangles,false,false,false,false
27,Inverse Trigonometry,false,false,false,false
28,Matrices and Determinants,false,false,false,false
